-----
{
 "description": "More than 1 Lakh Community Service Centers(CSC) with Broadband Connectivity are envisaged. These are last mile kiosk for providing e-services to citizens. The CSCs have been established in PPP mode where Service Center Agencies(SCA) have been selected to run the kiosk. District Wise CSC Roll out...", 
 "file_name": "District_wise_CSC_rollout_and_connectivity.csv", 
 "title": "District Wise Community Service Centers(CSC) Roll out and Connectivity ", 
 "url": "http://data.gov.in/sites/default/files/District_wise_CSC_rollout_and_connectivity.csv"
}
-----
 State , Service Centre Agency, Divisions / Zones , Name of Districts  , Total CSCs to be set up , Roll Out as on 30th Sept 2012 , CSCs Connected  , BSNL, VSAT, Data Card, Others
Jammu & Kashmir,J & K Bank,Kashmir,Bandipore,21,25,18,0,18,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Baramula,94,54,43,0,43,0,0
Jammu & Kashmir,J & K Bank,Jammu,Doda,71,30,24,0,24,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Ganderbal,24,24,23,0,23,0,0
Jammu & Kashmir,J & K Bank,Jammu,Jammu,62,58,41,0,41,0,0
Jammu & Kashmir,J & K Bank,Leh,Kargil,32,12,4,0,4,0,0
Jammu & Kashmir,J & K Bank,Jammu,Kathua,77,44,27,0,27,0,0
Jammu & Kashmir,J & K Bank,Jammu,Kishtwar,53,17,15,0,15,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Kulgam,60,36,32,0,32,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Kupwara,49,23,8,0,8,0,0
Jammu & Kashmir,J & K Bank,Leh,Leh,28,10,9,0,9,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Pulwama,82,57,54,0,54,0,0
Jammu & Kashmir,J & K Bank,Jammu,Poonch,28,20,15,0,15,0,0
Jammu & Kashmir,J & K Bank,Jammu,Rajauri,55,44,27,0,27,0,0
Jammu & Kashmir,J & K Bank,Jammu,Ramban,13,21,17,0,17,0,0
Jammu & Kashmir,J & K Bank,Jammu,Reasi,15,21,20,0,20,0,0
Jammu & Kashmir,J & K Bank,Jammu,Samba,66,21,17,0,17,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Shopian,50,37,30,0,30,0,0
Jammu & Kashmir,J & K Bank,Kashmir,Srinagar,15,10,0,0,0,0,0
Jammu & Kashmir,J & K Bank,Jammu,Udhampur,43,30,24,0,24,0,0
Jharkhand,UTL,Hazaribagh,Bokaro,248,1419,1419,188,0,603,628
Jharkhand,UTL,Hazaribagh,Chatra,154,0,0,0,0,0,0
Jharkhand,UTL,Hazaribagh,Dhanbad,383,0,0,0,0,0,0
Jharkhand,UTL,Hazaribagh,Giridih,358,0,0,0,0,0,0
Jharkhand,UTL,Hazaribagh,Hazaribagh,257,0,0,0,0,0,0
Jharkhand,UTL,Hazaribagh,Koderma,109,0,0,0,0,0,0
Jharkhand,UTL,Hazaribagh,Ramgarh,143,0,0,0,0,0,0
Jharkhand,UTL,Kolhan,Chaibasa(West Singhbhum),217,306,306,81,0,15,210
Jharkhand,UTL,Kolhan,East Singhbhum,231,0,0,0,0,0,0
Jharkhand,UTL,Kolhan,Saraikela Kharsawan,135,0,0,0,0,0,0
Jharkhand,UTL,Ranchi,Ghumla,159,574,574,368,0,144,62
Jharkhand,UTL,Ranchi,Khunti,86,0,0,0,0,0,0
Jharkhand,UTL,Ranchi,Lohardaga,66,0,0,0,0,0,0
Jharkhand,UTL,Ranchi,Ranchi,303,0,0,0,0,0,0
Jharkhand,UTL,Ranchi,Simdega,94,0,0,0,0,0,0
Jharkhand,AID,Palamu ,Daltanganj (Palamu),289,427,239,22,5,91,121
Jharkhand,AID,Palamu ,Garhwa,196,0,0,0,0,0,0
Jharkhand,AID,Palamu ,Latehar,115,0,0,0,0,0,0
Jharkhand,SCA Terminated,Dumka,Deoghar,201,566,0,0,0,0,0
Jharkhand,SCA Terminated,Dumka,Dumka,207,0,0,0,0,0,0
Jharkhand,SCA Terminated,Dumka,Godda,200,0,0,0,0,0,0
Jharkhand,SCA Terminated,Dumka,Jamtara,118,0,0,0,0,0,0
Jharkhand,SCA Terminated,Dumka,Pakur,128,0,0,0,0,0,0
Jharkhand,SCA Terminated,Dumka,Sahebganj,165,0,0,0,0,0,0
Karnataka,Comat (Nemadi Centers),Bangalore,Bangalore Rural,17,17,17,0,0,17,0
Karnataka,Comat (Nemadi Centers),Bangalore,Bangalore Urban,19,19,19,0,0,19,0
Karnataka,Comat (Nemadi Centers),Bangalore,Chickballapura,26,26,26,0,0,26,0
Karnataka,Comat (Nemadi Centers),Bangalore,Chitradurga,25,25,25,0,0,25,0
Karnataka,Comat (Nemadi Centers),Bangalore,Davanagere,24,24,24,0,0,24,0
Karnataka,Comat (Nemadi Centers),Bangalore,Kolar,27,27,27,0,0,27,0
Karnataka,Comat (Nemadi Centers),Bangalore,Ramanagaram,19,19,19,0,0,19,0
Karnataka,Comat (Nemadi Centers),Bangalore,Shimoga,37,37,37,0,0,37,0
Karnataka,Comat (Nemadi Centers),Bangalore,Tumkur,50,50,50,0,0,50,0
Karnataka,Comat (Nemadi Centers),Belgaum,Bagalkot,21,21,21,0,0,21,0
Karnataka,Comat (Nemadi Centers),Belgaum,Belgaum,56,56,56,0,0,56,0
Karnataka,Comat (Nemadi Centers),Belgaum,Bijapur,22,22,22,0,0,22,0
Karnataka,Comat (Nemadi Centers),Belgaum,Dharwad,21,21,21,0,0,21,0
Karnataka,Comat (Nemadi Centers),Belgaum,Gadag,13,13,13,0,0,13,0
Karnataka,Comat (Nemadi Centers),Belgaum,Haveri,22,22,22,0,0,22,0
Karnataka,Comat (Nemadi Centers),Belgaum,Uttara Kannada,35,35,35,0,0,35,0
Karnataka,Comat (Nemadi Centers),Gulbarga,Bellary,30,30,30,0,0,30,0
Karnataka,Comat (Nemadi Centers),Gulbarga,Bidar,30,30,30,0,0,30,0
Karnataka,Comat (Nemadi Centers),Gulbarga,Gulbarga,33,33,33,0,0,33,0
Karnataka,Comat (Nemadi Centers),Gulbarga,Koppal,20,20,20,0,0,20,0
Karnataka,Comat (Nemadi Centers),Gulbarga,Raichur,37,37,37,0,0,37,0
Karnataka,Comat (Nemadi Centers),Gulbarga,Yadgir,16,16,16,0,0,16,0
Karnataka,Comat (Nemadi Centers),Mysore,Chamarajanagar,16,16,16,0,0,16,0
Karnataka,Comat (Nemadi Centers),Mysore,Chikkamagalur,32,32,32,0,0,32,0
Karnataka,Comat (Nemadi Centers),Mysore,Dakshin kannada,18,18,18,0,0,18,0
Karnataka,Comat (Nemadi Centers),Mysore,Hassan,40,40,40,0,0,40,0
Karnataka,Comat (Nemadi Centers),Mysore,Kodagu,16,16,16,0,0,16,0
